X,Y,OBJECTID,PARK_NAME,AGE_RANGE,DATE_INSTALLED,COMMENTS,DATA_SOURCE
-75.2295676713022,39.9635166332757,2719,Ann P Nichols Park,2_5_YEARS,2017/01/01 00:00:00+00, ,Nearmap 2023
-75.2344650014337,39.948985705572,2720,Albert W Christy Sr Recreation Center,2_5_YEARS,2017/01/01 00:00:00+00, ,Nearmap 2023
-75.2226115796721,39.9670227793817,2721,West Mill Creek Playground,2_5_YEARS,2014/01/01 00:00:00+00, ,Nearmap 2023
-75.2257628897276,39.9528330298912,2722,Malcolm X Memorial Park,5_12_YEARS,, ,Nearmap 2023
-75.2164775278269,39.9711727523314,2723,Sister Clara Muhammad Square,2_5_YEARS,2010/01/01 00:00:00+00, ,Nearmap 2023
-75.2155633487788,39.9659561109027,2724,Tiffany Fletcher Recreation Center,2_5_YEARS,2014/01/01 00:00:00+00,Name changed by council on 12/2022.,Nearmap 2023
-75.2102061441064,39.9617603787975,2725,John A Lee Cultural Center,2_5_YEARS,, ,Nearmap 2023
-75.2095734861503,39.9478678528845,2726,Clarence H Clark Park,2_5_YEARS,, ,Nearmap 2023
-75.2099479193246,39.9422365871743,2727,48th and Woodland Playground,2_5_YEARS,, ,Nearmap 2023
-75.2171552443643,39.9422446455821,2728,Kingsessing Recreation Center,2_5_YEARS,, ,Nearmap 2023
-75.2383513672199,39.9408979192556,2729,Whitby Avenue Playground,2_5_YEARS,, ,Nearmap 2023
-75.2279640027784,39.9349663274868,2730,Francis J Myers Recreation Center,2_5_YEARS,,Rebuild Renovation 2024,NearMap 2024
-75.2305740912171,39.9236202389985,2731,George Connell Park,2_5_YEARS,, ,Nearmap 2023
-75.2288773777486,39.9148806933256,2732,J Francis Finnegan Playground,2_5_YEARS,2017/01/01 00:00:00+00,On the Eastern Side,Nearmap 2023
-75.232253048108,39.9150578555832,2733,J Francis Finnegan Playground,2_5_YEARS,2017/01/01 00:00:00+00,Next to Recreation Center,Nearmap 2023
-75.2482486633602,39.9081354289711,2734,William A Cibotti Recreation Center,2_5_YEARS,2020/08/01 00:00:00+00, ,Nearmap 2023
-75.2501857450165,39.9051533702167,2735,Eastwick Regional Playground,2_5_YEARS,, ,Nearmap 2023
-75.2373488554302,39.9058163577157,2736,Suffolk Park,2_5_YEARS,, ,Nearmap 2023
-75.1823492085481,40.0569539126466,2737,Pleasant Playground,5_12_YEARS,, ,Nearmap 2023
-75.1660112088704,40.0018897454124,2738,Vincent G Panati Playground,5_12_YEARS,2015/01/01 00:00:00+00, ,Nearmap 2023
-75.0265213643425,40.0362341375632,2739,Holmesburg Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.0673924281359,39.9996846742421,2740,Bridesburg Recreation Center,5_12_YEARS,2015/01/01 00:00:00+00, ,Nearmap 2023
-75.1505669648274,39.9380930093534,2741,Weccacoe Square,5_12_YEARS,, ,Nearmap 2023
-75.1457565423431,39.9739514744782,2742,Narcissa S Cruz Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.0705417957539,40.0389528451494,2743,Max Myers Playground,5_12_YEARS,2018/01/01 00:00:00+00, ,Nearmap 2023
-75.2372128685939,39.905777141722,2744,Suffolk Park,5_12_YEARS,, ,Nearmap 2023
-75.2227718756362,39.9482425023871,2745,Cedar Park,UNKNOWN,, ,Nearmap 2023
-75.1576604034586,39.9888592489422,2746,Marie Winchester Playground,5_12_YEARS,, ,Nearmap 2023
-75.2347577199742,39.9489768677694,2747,Albert W Christy Sr Recreation Center,5_12_YEARS,2017/01/01 00:00:00+00, ,Nearmap 2023
-75.2034554031957,40.0513139052949,2748,Allens Lane Art Center,5_12_YEARS,, ,Nearmap 2023
-75.1380408467933,40.0009561829056,2749,Ramonita Negron Rivera Recreation and Community Center,5_12_YEARS,2019/05/01 00:00:00+00, ,2024 September Site Visits
-75.1391219032281,39.9905720963083,2750,Fairhill Square,5_12_YEARS,2017/01/01 00:00:00+00, ,Nearmap 2023
-75.1525675534283,40.0244215916609,2751,Stenton Park,5_12_YEARS,2019/03/01 00:00:00+00,Installed during 2019 Renovations.,2024 December Site Visits
-75.1753006063331,40.081521027053,2752,Dorothy Emanuel Recreation Center,5_12_YEARS,, ,2024 October Site Visits
-75.1180030470269,40.0342908261177,2753,Charles J Ziehler Playground,2_12_YEARS,, ,2024 December Site Visits
-75.1946055222832,39.9215266200184,2754,29th and Passyunk Park,2_5_YEARS,, ,Nearmap 2023
-75.0966788276549,39.9907488379025,2755,Bernard Samuel Playground,5_12_YEARS,2022/06/02 00:00:00+00,Renovated in 2022,Nearmap 2023
-75.1975657794585,39.936451673334,2756,Jacob Stinger Park,5_12_YEARS,,Renovated in 2022,"Ops District Manager 2022; Nearmap 2023"
-75.1549550378223,39.9635069210303,2757,10th and Lemon Playground,5_12_YEARS,2024/05/01 00:00:00+00,Renovated in 2024,"Nearmap 2024; Capital 2024"
-75.1928910514338,39.9375486121001,2758,Donald P Finnegan Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.1726676480677,39.9165183953549,2759,Marconi Plaza,5_12_YEARS,,On the Northwest Side,Nearmap 2023
-75.1351818713005,39.9825710757468,2760,Norris Square,5_12_YEARS,2022/03/17 16:17:02+00, ,Nearmap 2023
-75.2501754765478,39.9691130431019,2761,William T Granahan Playground,5_12_YEARS,2020/11/01 00:00:00+00, ,Nearmap 2023
-75.1656928775689,40.0536721644427,2762,Awbury Park and Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.1771515683954,40.0516014568484,2763,Cliveden Park,5_12_YEARS,, ,Nearmap 2023
-75.1086341432755,40.0014032050438,2764,Joseph A Scanlon Playground,5_12_YEARS,2023/05/01 00:00:00+00,Renovated in 2023.,"Capital 2022;NearMap 2023"
-75.0540362468573,40.0261294311156,2765,Franklin Delano Roosevelt Playground,5_12_YEARS,2020/10/01 00:00:00+00,Installed during Renovations in 10/2020,Nearmap 2023
-75.1514373183259,39.9277243497461,2766,John Dickinson Square,5_12_YEARS,, ,Nearmap 2023
-75.2285796810518,39.9754028536666,2767,Conestoga Community Playground,5_12_YEARS,2016/10/01 00:00:00+00, ,Nearmap 2023
-75.0986925736814,39.9977083276111,2768,Robert T Heitzman Recreation Center,UNKNOWN,2022/09/23 00:00:00+00, ,Nearmap 2023
-75.0935764508442,40.0300176785518,2769,Edward Houseman Playground,5_12_YEARS,, ,Nearmap 2023
-75.1657310635481,40.0239109958025,2770,Happy Hollow Recreation Center,5_12_YEARS,, ,2024 December Site Visits
-75.1570397670577,39.9228930598243,2771,James Otis Ford Playground,5_12_YEARS,2016/01/01 00:00:00+00, ,Nearmap 2023
