Site Number,Pb_Content,Longitude,Latitude,
690,1012,-75.162180,39.952220,
691,1004,-75.212672,39.944778,
692,1000,-75.145887,39.966827,
693,1000,-75.146058,39.969437,
694,1000,-75.131871,39.969889,
695,1000,-75.124754,39.978301,
696,1000,-75.132653,40.002072,
697,1000,-75.129874,39.973171,
698,1000,-75.109470,39.988120,
699,992,-75.131852,39.977829,
700,990,-75.202268,39.955626,
701,990,-75.143464,40.005133,
702,990,-75.127361,39.979062,
703,990,-75.141500,39.965960,
704,990,-75.141500,39.965960,
705,988,-75.116151,39.976092,
706,986,-75.120943,39.978756,
707,979,-75.093273,39.993201,
708,970,-75.132636,39.969446,
709,970,-75.127361,39.979062,
710,970,-75.131871,39.969889,
711,960,-75.165613,39.956470,
712,960,-75.126570,39.973235,
713,959,-75.218738,39.950921,
714,955,-75.117393,39.981555,
715,954,-75.116502,39.977658,
716,953,-75.162180,39.952220,
717,947,-75.197552,40.049838,
718,941,-75.202477,39.969512,
719,940,-75.145887,39.966827,
720,940,-75.127874,39.985498,
721,940,-75.125527,39.986707,
722,934,-75.167676,40.036023,
723,934,-75.116034,39.977118,
724,930,-75.129835,39.969045,
725,924,-75.117861,39.979215,
726,920,-75.219226,39.948732,
727,920,-75.132530,39.971104,
728,920,-75.124453,39.981663,
729,915,-75.126132,39.970467,
730,913,-75.130596,39.967560,
731,907,-75.114232,39.990090,
732,907,-75.217581,39.945020,
733,903,-75.089623,39.989088,
734,903,-75.194562,39.963653,
735,902,-75.115732,39.976776,
736,900,-75.145285,39.969345,
737,899,-75.212031,39.946245,
738,895,-75.162180,39.952220,
739,891,-75.133823,39.974778,
740,890,-75.211014,39.950784,
741,882,-75.156277,40.008747,
742,881,-75.098002,39.986928,
743,880,-75.132636,39.969446,
744,880,-75.124393,39.981555,
745,880,-75.124393,39.981555,
746,878,-75.132193,39.976146,
747,870,-75.165764,39.987513,
748,870,-75.167671,40.036014,
749,870,-75.167671,40.036014,
750,870,-75.130497,39.976317,
751,869,-75.089623,39.989088,
752,868,-75.126150,39.986451,
753,867,-75.120943,39.978756,
754,860,-75.154536,39.932346,
755,860,-75.220155,40.023750,
756,860,-75.127690,39.975100,
757,850,-75.162180,39.952220,
758,850,-75.092525,40.023388,
759,850,-75.147899,39.963159,
760,850,-75.123243,39.981357,
761,842,-75.133823,39.974778,
762,840,-75.089623,39.989088,
763,840,-75.206338,39.958878,
764,840,-75.143412,39.965417,
765,840,-75.162180,39.952220,
766,840,-75.089623,39.989088,
767,839,-75.187977,40.052019,
768,830,-75.131983,39.968259,
769,820,-75.188096,39.992074,
770,820,-75.148099,39.970852,
771,814,-75.212631,39.951006,
772,813,-75.129084,39.975039,
773,810,-75.132563,39.983170,
774,810,-75.148452,39.982077,
775,810,-75.127690,39.975100,
776,810,-75.110555,39.985643,
777,810,-75.114678,39.989624,
778,800,-75.171807,39.937446,
779,800,-75.127901,39.969856,
780,800,-75.117703,39.981906,
781,798,-75.214387,40.024619,
782,795,-75.188096,39.992074,
783,794,-75.125034,39.981339,
784,792,-75.220229,39.964742,
785,790,-75.129084,39.975039,
786,786,-75.162180,39.952220,
787,784,-75.116502,39.977658,
788,782,-75.119472,39.980547,
789,780,-75.158197,39.959874,
790,780,-75.172505,40.027949,
791,778,-75.065376,40.001351,
792,776,-75.129835,39.969045,
793,769,-75.076376,39.995752,
794,760,-75.207227,39.949708,
795,760,-75.145338,39.964217,
796,760,-75.138119,39.973595,
797,756,-75.226392,39.974220,
798,756,-75.125943,39.987990,
799,750,-75.136114,39.965775,
800,750,-75.119038,39.983387,
801,748,-75.108503,39.978630,
802,745,-75.162180,39.952220,
803,744,-75.123873,39.981024,
804,744,-75.096796,39.987576,
805,743,-75.120946,39.978667,
806,740,-75.221233,39.948951,
807,740,-75.126192,39.983791,
808,740,-75.206546,40.043014,
809,740,-75.139070,39.986500,
810,739,-75.114765,39.978540,
811,738,-75.130497,39.976317,
812,738,-75.116502,39.977658,
813,736,-75.162180,39.952220,
814,733,-75.117942,39.978099,
815,732,-75.127333,39.971772,
816,732,-75.116502,39.977658,
817,730,-75.146518,39.964307,
818,730,-75.122838,39.975014,
819,726,-75.126222,39.983697,
820,726,-75.133823,39.974778,
821,725,-75.133823,39.974778,
822,725,-75.123634,39.984570,
823,717,-75.098002,39.986928,
824,716,-75.130497,39.976317,
825,716,-75.095473,39.987855,
826,715,-75.188096,39.992074,
827,713,-75.117703,39.981906,
828,709,-75.124453,39.981663,
829,709,-75.114218,39.986689,
830,709,-75.133132,39.974614,
831,707,-75.124463,39.979728,
832,704,-75.123270,39.980340,
833,701,-75.127307,39.985857,
834,701,-75.219269,39.948485,
835,700,-75.127901,39.969856,
836,700,-75.125664,39.973633,
837,698,-75.123827,39.980924,
838,693,-75.132414,39.966849,
839,692,-75.116844,39.977487,
840,689,-75.125283,39.984664,
841,688,-75.109146,39.995718,
842,686,-75.098002,39.986928,
843,683,-75.221025,39.945875,
844,683,-75.208247,39.967014,
845,680,-75.114765,39.978540,
846,680,-75.143997,39.965817,
847,680,-75.144094,39.968080,
848,680,-75.124754,39.978301,
849,680,-75.127874,39.985498,
850,679,-75.121623,39.977496,
851,679,-75.124453,39.981663,
852,678,-75.126785,39.978513,
853,677,-75.126150,39.986451,
